keys,zh_HK,en
RESEARCH_PAIR_BD_S2_NAME,抗原呈現｜強化協同,Antigen Presentation | Enhanced Synergy
RESEARCH_PAIR_BD_S2_DESCRIPTION,強化 抗原呈現 路線的協同共鳴，為實體融合鋪路。,Strengthens the Antigen Presentation route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_BD_S4_NAME,抗原呈現｜傳承特質協議,Antigen Presentation | Legacy Trait Protocol
RESEARCH_PAIR_BD_S4_DESCRIPTION,解鎖 抗原呈現 傳承特質研究協議，可在關卡前裝備。,Unlocks the Antigen Presentation legacy-trait research protocol for pre-mission equipment.
RESEARCH_PAIR_MN_S1_NAME,感染清除｜基礎相性,Infection Clearance | Base Affinity
RESEARCH_PAIR_MN_S1_DESCRIPTION,建立 M 與 N 兩系在戰場上的基礎相性連結。,Establishes a base battlefield affinity link between the M and N lineages.
RESEARCH_PAIR_MN_S2_NAME,感染清除｜強化協同,Infection Clearance | Enhanced Synergy
RESEARCH_PAIR_MN_S2_DESCRIPTION,強化 感染清除 路線的協同共鳴，為實體融合鋪路。,Strengthens the Infection Clearance route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_MN_S4_NAME,感染清除｜傳承特質協議,Infection Clearance | Legacy Trait Protocol
RESEARCH_PAIR_MN_S4_DESCRIPTION,解鎖 感染清除 傳承特質研究協議，可在關卡前裝備。,Unlocks the Infection Clearance legacy-trait research protocol for pre-mission equipment.
RESEARCH_PAIR_MA_S1_NAME,免疫壁壘｜基礎相性,Immune Bulwark | Base Affinity
RESEARCH_PAIR_MA_S1_DESCRIPTION,建立 M 與 A 兩系在戰場上的基礎相性連結。,Establishes a base battlefield affinity link between the M and A lineages.
RESEARCH_PAIR_MA_S2_NAME,免疫壁壘｜強化協同,Immune Bulwark | Enhanced Synergy
RESEARCH_PAIR_MA_S2_DESCRIPTION,強化 免疫壁壘 路線的協同共鳴，為實體融合鋪路。,Strengthens the Immune Bulwark route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_MA_S4_NAME,免疫壁壘｜傳承特質協議,Immune Bulwark | Legacy Trait Protocol
RESEARCH_PAIR_MA_S4_DESCRIPTION,解鎖 免疫壁壘 傳承特質研究協議，可在關卡前裝備。,Unlocks the Immune Bulwark legacy-trait research protocol for pre-mission equipment.
RESEARCH_PAIR_MD_S1_NAME,抗原中樞｜基礎相性,Antigen Nexus | Base Affinity
RESEARCH_PAIR_MD_S1_DESCRIPTION,建立 M 與 D 兩系在戰場上的基礎相性連結。,Establishes a base battlefield affinity link between the M and D lineages.
RESEARCH_PAIR_MD_S2_NAME,抗原中樞｜強化協同,Antigen Nexus | Enhanced Synergy
RESEARCH_PAIR_MD_S2_DESCRIPTION,強化 抗原中樞 路線的協同共鳴，為實體融合鋪路。,Strengthens the Antigen Nexus route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_MD_S4_NAME,抗原中樞｜傳承特質協議,Antigen Nexus | Legacy Trait Protocol
RESEARCH_PAIR_MD_S4_DESCRIPTION,解鎖 抗原中樞 傳承特質研究協議，可在關卡前裝備。,Unlocks the Antigen Nexus legacy-trait research protocol for pre-mission equipment.
RESEARCH_PAIR_NA_S1_NAME,抗體追獵｜基礎相性,Antibody Pursuit | Base Affinity
RESEARCH_PAIR_NA_S1_DESCRIPTION,建立 N 與 A 兩系在戰場上的基礎相性連結。,Establishes a base battlefield affinity link between the N and A lineages.
RESEARCH_PAIR_NA_S2_NAME,抗體追獵｜強化協同,Antibody Pursuit | Enhanced Synergy
RESEARCH_PAIR_NA_S2_DESCRIPTION,強化 抗體追獵 路線的協同共鳴，為實體融合鋪路。,Strengthens the Antibody Pursuit route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_NA_S4_NAME,抗體追獵｜傳承特質協議,Antibody Pursuit | Legacy Trait Protocol
RESEARCH_PAIR_NA_S4_DESCRIPTION,解鎖 抗體追獵 傳承特質研究協議，可在關卡前裝備。,Unlocks the Antibody Pursuit legacy-trait research protocol for pre-mission equipment.
RESEARCH_PAIR_ND_S1_NAME,獵殺信標｜基礎相性,Hunter Beacon | Base Affinity
RESEARCH_PAIR_ND_S1_DESCRIPTION,建立 N 與 D 兩系在戰場上的基礎相性連結。,Establishes a base battlefield affinity link between the N and D lineages.
RESEARCH_PAIR_ND_S2_NAME,獵殺信標｜強化協同,Hunter Beacon | Enhanced Synergy
RESEARCH_PAIR_ND_S2_DESCRIPTION,強化 獵殺信標 路線的協同共鳴，為實體融合鋪路。,Strengthens the Hunter Beacon route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_ND_S4_NAME,獵殺信標｜傳承特質協議,Hunter Beacon | Legacy Trait Protocol
RESEARCH_PAIR_ND_S4_DESCRIPTION,解鎖 獵殺信標 傳承特質研究協議，可在關卡前裝備。,Unlocks the Hunter Beacon legacy-trait research protocol for pre-mission equipment.
RESEARCH_PAIR_AD_S1_NAME,免疫網絡｜基礎相性,Immune Network | Base Affinity
RESEARCH_PAIR_AD_S1_DESCRIPTION,建立 A 與 D 兩系在戰場上的基礎相性連結。,Establishes a base battlefield affinity link between the A and D lineages.
RESEARCH_PAIR_AD_S2_NAME,免疫網絡｜強化協同,Immune Network | Enhanced Synergy
RESEARCH_PAIR_AD_S2_DESCRIPTION,強化 免疫網絡 路線的協同共鳴，為實體融合鋪路。,Strengthens the Immune Network route's synergy resonance and prepares it for physical fusion.
RESEARCH_PAIR_AD_S4_NAME,免疫網絡｜傳承特質協議,Immune Network | Legacy Trait Protocol
RESEARCH_PAIR_AD_S4_DESCRIPTION,解鎖 免疫網絡 傳承特質研究協議，可在關卡前裝備。,Unlocks the Immune Network legacy-trait research protocol for pre-mission equipment.
RESEARCH_TRIPLE_TBA_ROLE_NAME,適應免疫核心｜戰場定位,Adaptive Immune Core | Battlefield Role
RESEARCH_TRIPLE_TBA_ROLE_DESCRIPTION,定義 適應免疫核心 在戰場上的核心定位與編隊角色。,Defines the Adaptive Immune Core's core battlefield position and formation role.
RESEARCH_TRIPLE_TBA_RULE_NAME,適應免疫核心｜專屬規則,Adaptive Immune Core | Exclusive Rule
RESEARCH_TRIPLE_TBA_RULE_DESCRIPTION,授予 適應免疫核心 專屬戰鬥規則與陣容互動例外。,Grants the Adaptive Immune Core an exclusive combat rule and a formation-interaction exception.
RESEARCH_TRIPLE_TBA_APEX_NAME,適應免疫核心｜Apex 連結,Adaptive Immune Core | Apex Link
RESEARCH_TRIPLE_TBA_APEX_DESCRIPTION,連結 適應免疫核心 與 Apex 終局路線的資格節點。,Links the Adaptive Immune Core to an Apex endgame-route qualification node.
RESEARCH_TRIPLE_TND_ROLE_NAME,全域截擊中樞｜戰場定位,Global Interception Nexus | Battlefield Role
RESEARCH_TRIPLE_TND_ROLE_DESCRIPTION,定義 全域截擊中樞 在戰場上的核心定位與編隊角色。,Defines the Global Interception Nexus's core battlefield position and formation role.
RESEARCH_TRIPLE_TND_RULE_NAME,全域截擊中樞｜專屬規則,Global Interception Nexus | Exclusive Rule
RESEARCH_TRIPLE_TND_RULE_DESCRIPTION,授予 全域截擊中樞 專屬戰鬥規則與陣容互動例外。,Grants the Global Interception Nexus an exclusive combat rule and a formation-interaction exception.
RESEARCH_TRIPLE_TND_APEX_NAME,全域截擊中樞｜Apex 連結,Global Interception Nexus | Apex Link
RESEARCH_TRIPLE_TND_APEX_DESCRIPTION,連結 全域截擊中樞 與 Apex 終局路線的資格節點。,Links the Global Interception Nexus to an Apex endgame-route qualification node.
RESEARCH_TRIPLE_MAD_ROLE_NAME,組織防衛聖域｜戰場定位,Tissue Defense Sanctuary | Battlefield Role
RESEARCH_TRIPLE_MAD_ROLE_DESCRIPTION,定義 組織防衛聖域 在戰場上的核心定位與編隊角色。,Defines the Tissue Defense Sanctuary's core battlefield position and formation role.
RESEARCH_TRIPLE_MAD_RULE_NAME,組織防衛聖域｜專屬規則,Tissue Defense Sanctuary | Exclusive Rule
RESEARCH_TRIPLE_MAD_RULE_DESCRIPTION,授予 組織防衛聖域 專屬戰鬥規則與陣容互動例外。,Grants the Tissue Defense Sanctuary an exclusive combat rule and a formation-interaction exception.
RESEARCH_TRIPLE_MAD_APEX_NAME,組織防衛聖域｜Apex 連結,Tissue Defense Sanctuary | Apex Link
RESEARCH_TRIPLE_MAD_APEX_DESCRIPTION,連結 組織防衛聖域 與 Apex 終局路線的資格節點。,Links the Tissue Defense Sanctuary to an Apex endgame-route qualification node.
RESEARCH_TRIPLE_BMD_ROLE_NAME,組織再生工廠｜戰場定位,Tissue Regeneration Foundry | Battlefield Role
RESEARCH_TRIPLE_BMD_ROLE_DESCRIPTION,定義 組織再生工廠 在戰場上的核心定位與編隊角色。,Defines the Tissue Regeneration Foundry's core battlefield position and formation role.
RESEARCH_TRIPLE_BMD_RULE_NAME,組織再生工廠｜專屬規則,Tissue Regeneration Foundry | Exclusive Rule
RESEARCH_TRIPLE_BMD_RULE_DESCRIPTION,授予 組織再生工廠 專屬戰鬥規則與陣容互動例外。,Grants the Tissue Regeneration Foundry an exclusive combat rule and a formation-interaction exception.
RESEARCH_TRIPLE_BMD_APEX_NAME,組織再生工廠｜Apex 連結,Tissue Regeneration Foundry | Apex Link
RESEARCH_TRIPLE_BMD_APEX_DESCRIPTION,連結 組織再生工廠 與 Apex 終局路線的資格節點。,Links the Tissue Regeneration Foundry to an Apex endgame-route qualification node.
RESEARCH_TRIPLE_BNA_ROLE_NAME,抗體獵殺蜂群｜戰場定位,Antibody Hunter Swarm | Battlefield Role
RESEARCH_TRIPLE_BNA_ROLE_DESCRIPTION,定義 抗體獵殺蜂群 在戰場上的核心定位與編隊角色。,Defines the Antibody Hunter Swarm's core battlefield position and formation role.
RESEARCH_TRIPLE_BNA_RULE_NAME,抗體獵殺蜂群｜專屬規則,Antibody Hunter Swarm | Exclusive Rule
RESEARCH_TRIPLE_BNA_RULE_DESCRIPTION,授予 抗體獵殺蜂群 專屬戰鬥規則與陣容互動例外。,Grants the Antibody Hunter Swarm an exclusive combat rule and a formation-interaction exception.
RESEARCH_TRIPLE_BNA_APEX_NAME,抗體獵殺蜂群｜Apex 連結,Antibody Hunter Swarm | Apex Link
RESEARCH_TRIPLE_BNA_APEX_DESCRIPTION,連結 抗體獵殺蜂群 與 Apex 終局路線的資格節點。,Links the Antibody Hunter Swarm to an Apex endgame-route qualification node.
RESEARCH_TRIPLE_TMN_ROLE_NAME,凋亡反應爐｜戰場定位,Apoptosis Reactor | Battlefield Role
RESEARCH_TRIPLE_TMN_ROLE_DESCRIPTION,定義 凋亡反應爐 在戰場上的核心定位與編隊角色。,Defines the Apoptosis Reactor's core battlefield position and formation role.
RESEARCH_TRIPLE_TMN_RULE_NAME,凋亡反應爐｜專屬規則,Apoptosis Reactor | Exclusive Rule
RESEARCH_TRIPLE_TMN_RULE_DESCRIPTION,授予 凋亡反應爐 專屬戰鬥規則與陣容互動例外。,Grants the Apoptosis Reactor an exclusive combat rule and a formation-interaction exception.
RESEARCH_TRIPLE_TMN_APEX_NAME,凋亡反應爐｜Apex 連結,Apoptosis Reactor | Apex Link
RESEARCH_TRIPLE_TMN_APEX_DESCRIPTION,連結 凋亡反應爐 與 Apex 終局路線的資格節點。,Links the Apoptosis Reactor to an Apex endgame-route qualification node.
RESEARCH_APEX_MEMORY_GATE_NAME,長期免疫記憶庫｜終局門檻,Long-term Immune Archive | Endgame Gate
RESEARCH_APEX_MEMORY_GATE_DESCRIPTION,長期免疫記憶庫 終局門檻，需完成對應 Apex 身份與三融合連結。,"Long-term Immune Archive's endgame gate, requiring its Apex identity and triple-fusion link."
RESEARCH_APEX_MEMORY_PROTOCOL_NAME,長期免疫記憶庫｜終局協議,Long-term Immune Archive | Endgame Protocol
RESEARCH_APEX_MEMORY_PROTOCOL_DESCRIPTION,長期免疫記憶庫 終局研究協議，關卡前裝備並消耗 Apex 帶寬。,"Long-term Immune Archive's endgame research protocol, equipped before a mission and consuming Apex bandwidth."
RESEARCH_APEX_STERILE_GATE_NAME,無菌聖域｜終局門檻,Sterile Sanctuary | Endgame Gate
RESEARCH_APEX_STERILE_GATE_DESCRIPTION,無菌聖域 終局門檻，需完成對應 Apex 身份與三融合連結。,"Sterile Sanctuary's endgame gate, requiring its Apex identity and triple-fusion link."
RESEARCH_APEX_STERILE_PROTOCOL_NAME,無菌聖域｜終局協議,Sterile Sanctuary | Endgame Protocol
RESEARCH_APEX_STERILE_PROTOCOL_DESCRIPTION,無菌聖域 終局研究協議，關卡前裝備並消耗 Apex 帶寬。,"Sterile Sanctuary's endgame research protocol, equipped before a mission and consuming Apex bandwidth."
RESEARCH_APEX_SILENT_GATE_NAME,靜默獵殺網｜終局門檻,Silent Hunter Network | Endgame Gate
RESEARCH_APEX_SILENT_GATE_DESCRIPTION,靜默獵殺網 終局門檻，需完成對應 Apex 身份與三融合連結。,"Silent Hunter Network's endgame gate, requiring its Apex identity and triple-fusion link."
RESEARCH_APEX_SILENT_PROTOCOL_NAME,靜默獵殺網｜終局協議,Silent Hunter Network | Endgame Protocol
RESEARCH_APEX_SILENT_PROTOCOL_DESCRIPTION,靜默獵殺網 終局研究協議，關卡前裝備並消耗 Apex 帶寬。,"Silent Hunter Network's endgame research protocol, equipped before a mission and consuming Apex bandwidth."
RESEARCH_APEX_PRIME_GATE_NAME,IMMUNE PRIME｜終局門檻,IMMUNE PRIME | Endgame Gate
RESEARCH_APEX_PRIME_GATE_DESCRIPTION,IMMUNE PRIME 終局門檻，確認六系與三融合成果已就緒。,"The IMMUNE PRIME endgame gate, confirming that the six lineages and triple-fusion achievements are ready."
RESEARCH_APEX_PRIME_PROTOCOL_NAME,IMMUNE PRIME｜終局協議,IMMUNE PRIME | Endgame Protocol
RESEARCH_APEX_PRIME_PROTOCOL_DESCRIPTION,IMMUNE PRIME 終局研究協議，關卡前裝備並消耗 Apex 帶寬。,"IMMUNE PRIME's endgame research protocol, equipped before a mission and consuming Apex bandwidth."
RESEARCH_UNI_DEF_01_NAME,核心修復效率,Core Repair Efficiency
RESEARCH_UNI_DEF_01_DESCRIPTION,全域防線：免疫核心持續修復加快。同名百分比只由防線環提供。,Global defense: accelerates continuous Immune Core repair. This percentage is supplied only by the Defense ring.
RESEARCH_UNI_DEF_02_NAME,固定塔位擴充,Fixed Turret Expansion
RESEARCH_UNI_DEF_02_DESCRIPTION,全域防線：可同時展開的固定炮台席次 +1，不是傷害百分比。,Global defense: increases simultaneous fixed-turret capacity by 1. Capacity is not a damage percentage.
RESEARCH_UNI_DEF_03_NAME,塔間支援鏈,Turret Support Chain
RESEARCH_UNI_DEF_03_DESCRIPTION,2-1 匯合：修復與塔位連成支援鏈。規則解鎖，不再疊修復%。,2-1 convergence: links repair and turret slots into a support chain. Unlocks a rule without stacking more repair percentage.
RESEARCH_UNI_DEF_04_NAME,路線干擾障壁,Route Disruption Barrier
RESEARCH_UNI_DEF_04_DESCRIPTION,敵人沿入侵路線被輕微減速。與狀態化學緩速分開，數值較小。,Slightly slows enemies moving along invasion routes. This is separate from status-chemistry slow and has a smaller value.
RESEARCH_UNI_DEF_05_NAME,核心緊急護盾,Core Emergency Shield
RESEARCH_UNI_DEF_05_DESCRIPTION,核心生命低於閾值時展開一次護盾。一次性規則。,Deploys a one-use shield when Core health falls below its threshold.
RESEARCH_UNI_DEF_06_NAME,防守波次預備,Defense Wave Preparation
RESEARCH_UNI_DEF_06_DESCRIPTION,每波開始前為核心與固定炮台預補一次耐久。,Restores some durability to the Core and fixed turrets before each wave begins.
RESEARCH_UNI_DEF_07_NAME,核心終極防線,Ultimate Core Defense
RESEARCH_UNI_DEF_07_DESCRIPTION,3-1 匯合：護盾強化。不再疊加修復百分比。,3-1 convergence: strengthens the shield without stacking another repair percentage.
RESEARCH_UNI_EXP_01_NAME,偵察範圍延伸,Extended Recon Range
RESEARCH_UNI_EXP_01_DESCRIPTION,全域遠征：揭示距離 +6%。,Global expedition: increases reveal distance by 6%.
RESEARCH_UNI_EXP_02_NAME,迷霧預覽強化,Enhanced Fog Preview
RESEARCH_UNI_EXP_02_DESCRIPTION,未進入的感染區可預覽敵人族群。規則解鎖。,Allows a preview of enemy populations in infection zones before entry. Unlocks a rule.
RESEARCH_UNI_EXP_03_NAME,遠征節點解鎖,Expedition Node Access
RESEARCH_UNI_EXP_03_DESCRIPTION,2-1 匯合：開放下一層遠征節點。不是視野%。,2-1 convergence: opens the next layer of expedition nodes. This is not a vision percentage.
RESEARCH_UNI_EXP_04_NAME,邊疆建造資格,Frontier Construction Clearance
RESEARCH_UNI_EXP_04_DESCRIPTION,可在遠征格放置臨時固定席。,Allows temporary fixed positions to be placed on expedition tiles.
RESEARCH_UNI_EXP_05_NAME,遠征補給效率,Expedition Supply Efficiency
RESEARCH_UNI_EXP_05_DESCRIPTION,遠征帶回資源 +6%。,Increases resources returned from expeditions by 6%.
RESEARCH_UNI_EXP_06_NAME,撤退窗口延長,Extended Retreat Window
RESEARCH_UNI_EXP_06_DESCRIPTION,強制撤退前的安全窗口延長。規則。,Extends the safe window before a forced retreat. Unlocks a rule.
RESEARCH_UNI_EXP_07_NAME,疆域終極擴張,Ultimate Territorial Expansion
RESEARCH_UNI_EXP_07_DESCRIPTION,3-1 匯合：再 +4% 遠征補給。不再疊視野。,3-1 convergence: adds 4% expedition supply yield without stacking more vision.
RESEARCH_UNI_WAR_01_NAME,全體攻擊節奏,Global Attack Tempo
RESEARCH_UNI_WAR_01_DESCRIPTION,全域戰爭：全體攻速 +5%。攻速只從戰爭環來，機動環不再給攻速。,"Global warfare: increases all attack speed by 5%. Attack speed comes from the War ring, not the Mobility ring."
RESEARCH_UNI_WAR_02_NAME,軍團橫向容量,Army Line Capacity
RESEARCH_UNI_WAR_02_DESCRIPTION,全域戰爭：橫向軍團席次 +1。容量不是百分比，避免和攻速雙疊。,Global warfare: increases lateral army capacity by 1. Capacity is not a percentage and does not double-stack with attack speed.
RESEARCH_UNI_WAR_03_NAME,全域火力同步,Global Fire Synchronization
RESEARCH_UNI_WAR_03_DESCRIPTION,2-1 匯合：再 +4% 攻速。合併點小於第一枝，避免越合越大。,2-1 convergence: adds 4% attack speed. The merge bonus is smaller than the first branch.
RESEARCH_UNI_WAR_04_NAME,固定炮台射速,Fixed Turret Fire Rate
RESEARCH_UNI_WAR_04_DESCRIPTION,僅固定勤務 +4% 射速。與全體攻速分開計算。,Increases fire rate by 4% only while on fixed duty. Calculated separately from global attack speed.
RESEARCH_UNI_WAR_05_NAME,移動追擊節奏,Mobile Pursuit Tempo
RESEARCH_UNI_WAR_05_DESCRIPTION,僅移動勤務 +4% 攻速。與固定射速互斥加成。,Increases attack speed by 4% only while on mobile duty. Mutually exclusive with the fixed-duty bonus.
RESEARCH_UNI_WAR_06_NAME,技能冷卻壓縮,Skill Cooldown Compression
RESEARCH_UNI_WAR_06_DESCRIPTION,全體冷卻 −6%。走冷卻軸，不再疊攻速。,Reduces all skill cooldowns by 6%. This follows the cooldown axis instead of stacking attack speed.
RESEARCH_UNI_WAR_07_NAME,全面戰爭終極戰術,Ultimate Total War Tactics
RESEARCH_UNI_WAR_07_DESCRIPTION,3-1 匯合：再 +4% 攻速。冷卻已在上一枝，終局不雙疊。,3-1 convergence: adds 4% attack speed. Cooldown is handled by the prior branch and is not stacked here.
RESEARCH_UNI_MOB_01_NAME,全體移動節奏,Global Movement Tempo
RESEARCH_UNI_MOB_01_DESCRIPTION,全域機動：移速 +6%。移速只從機動環來。,Global mobility: increases movement speed by 6%. Movement speed comes only from the Mobility ring.
RESEARCH_UNI_MOB_02_NAME,快速部署通道,Rapid Deployment Channel
RESEARCH_UNI_MOB_02_DESCRIPTION,部署前搖縮短 8%。不是攻速。,Reduces deployment wind-up by 8%. This is not attack speed.
RESEARCH_UNI_MOB_03_NAME,跨區域轉移,Cross-region Transfer
RESEARCH_UNI_MOB_03_DESCRIPTION,2-1 匯合：解鎖跨區轉移規則，不再疊移速%。,2-1 convergence: unlocks cross-region transfer without stacking more movement speed.
RESEARCH_UNI_MOB_04_NAME,移動單位耐久,Mobile Unit Durability
RESEARCH_UNI_MOB_04_DESCRIPTION,移動勤務生命 +6%。生存軸，不是輸出。,"Increases mobile-duty health by 6%. This is survivability, not damage output."
RESEARCH_UNI_MOB_05_NAME,機動協同增幅,Mobile Synergy Amplifier
RESEARCH_UNI_MOB_05_DESCRIPTION,近距離移動單位互相獲得編隊加成。規則解鎖，不含攻速。,Nearby mobile units grant each other a formation bonus. Unlocks a rule without attack speed.
RESEARCH_UNI_MOB_06_NAME,撤退掩護編隊,Retreat Cover Formation
RESEARCH_UNI_MOB_06_DESCRIPTION,撤退時移動單位為核心提供短暫掩護射擊。,Mobile units provide brief covering fire for the Core during retreat.
RESEARCH_UNI_MOB_07_NAME,機動終極編隊,Ultimate Mobile Formation
RESEARCH_UNI_MOB_07_DESCRIPTION,3-1 匯合：再 +4% 移速。不把攻速塞進機動終局。,3-1 convergence: adds 4% movement speed without placing attack speed in the Mobility capstone.
RESEARCH_UNI_FUS_01_NAME,雙家族相性基礎,Dual-family Affinity Foundation
RESEARCH_UNI_FUS_01_DESCRIPTION,全域融合：雙家族相性研究消耗略降。不直接加傷害。,Global fusion: slightly lowers dual-family affinity research costs without directly increasing damage.
RESEARCH_UNI_FUS_02_NAME,融合效率增幅,Fusion Efficiency Amplifier
RESEARCH_UNI_FUS_02_DESCRIPTION,融合核心轉換效率 +6%。,Increases Fusion Core conversion efficiency by 6%.
RESEARCH_UNI_FUS_03_NAME,三融合資格預備,Triple-fusion Readiness
RESEARCH_UNI_FUS_03_DESCRIPTION,2-1 匯合：開放三融合資格檢查，不是輸出%。,2-1 convergence: opens triple-fusion qualification checks. This is not an output percentage.
RESEARCH_UNI_FUS_04_NAME,傳承特質保留,Legacy Trait Retention
RESEARCH_UNI_FUS_04_DESCRIPTION,融合後保留更多來源家族被動。規則解鎖。,Preserves more passive traits from source families after fusion. Unlocks a rule.
RESEARCH_UNI_FUS_05_NAME,融合核心回收,Fusion Core Recovery
RESEARCH_UNI_FUS_05_DESCRIPTION,替換融合時退回 20% 融合核心。,Refunds 20% of Fusion Cores when replacing a fusion.
RESEARCH_UNI_FUS_06_NAME,Apex 路線預備,Apex Route Readiness
RESEARCH_UNI_FUS_06_DESCRIPTION,顯示隱藏 Apex 所需的遠征旗標缺口。,Reveals missing expedition flags required by hidden Apex routes.
RESEARCH_UNI_FUS_07_NAME,融合終極工程,Ultimate Fusion Engineering
RESEARCH_UNI_FUS_07_DESCRIPTION,3-1 匯合：再 +4% 融合效率。不再疊相性折抵。,3-1 convergence: adds 4% fusion efficiency without stacking another affinity discount.
RESEARCH_UNI_SUR_01_NAME,生物質回收效率,Biomass Recovery Efficiency
RESEARCH_UNI_SUR_01_DESCRIPTION,全域生存：生物質回收 +6%。回收只從生存環來。,Global survival: increases biomass recovery by 6%. Recovery comes only from the Survival ring.
RESEARCH_UNI_SUR_02_NAME,受傷修復加速,Accelerated Injury Repair
RESEARCH_UNI_SUR_02_DESCRIPTION,單位再生 +6%。不修核心（核心修復在防線環）。,"Increases unit regeneration by 6%. It does not repair the Core, which belongs to the Defense ring."
RESEARCH_UNI_SUR_03_NAME,核心緊急修復,Core Emergency Repair
RESEARCH_UNI_SUR_03_DESCRIPTION,2-1 匯合：波次間核心一次急救。規則，不再疊核心修復%。,2-1 convergence: performs one emergency Core repair between waves without stacking continuous Core repair.
RESEARCH_UNI_SUR_04_NAME,細胞再生儲備,Cell Regeneration Reserve
RESEARCH_UNI_SUR_04_DESCRIPTION,擊殺儲存再生電荷。規則解鎖。,Stores regeneration charges on kills. Unlocks a rule.
RESEARCH_UNI_SUR_05_NAME,陣亡後備援,Post-casualty Backup
RESEARCH_UNI_SUR_05_DESCRIPTION,陣亡後短暫再部署一次。規則解鎖。,Allows one brief redeployment after a unit is defeated. Unlocks a rule.
RESEARCH_UNI_SUR_06_NAME,資源短缺緩解,Resource Shortage Relief
RESEARCH_UNI_SUR_06_DESCRIPTION,資源見底時下一波掉落保底。,Guarantees a minimum drop in the next wave when resources are depleted.
RESEARCH_UNI_SUR_07_NAME,生存終極修復,Ultimate Survival Repair
RESEARCH_UNI_SUR_07_DESCRIPTION,3-1 匯合：再 +4% 單位再生。不疊生物質與核心修復。,3-1 convergence: adds 4% unit regeneration without stacking biomass or Core repair.
RESEARCH_STATUS_MARK_NAME,標記疊層化學,Mark Stack Chemistry
RESEARCH_STATUS_MARK_DESCRIPTION,全域化學：標記最高疊層 +1，持續期間被標記目標受到額外集火權重。,Global chemistry: increases maximum Mark stacks by 1 and gives marked targets extra focus-fire priority during the effect.
RESEARCH_STATUS_AB_NAME,抗體弱點化學,Antibody Weakness Chemistry
RESEARCH_STATUS_AB_DESCRIPTION,全域化學：弱點放大 +8%。狀態環負責易傷，戰爭環負責攻速。,Global chemistry: increases weakness amplification by 8%. The Status ring owns vulnerability while the War ring owns attack speed.
RESEARCH_STATUS_COR_NAME,腐蝕破防化學,Corrosive Armor-break Chemistry
RESEARCH_STATUS_COR_DESCRIPTION,2-1 匯合：破甲 +8%。規則轉化，不把弱點再加一次。,2-1 convergence: adds 8% armor shred through a rule conversion without applying weakness twice.
RESEARCH_STATUS_SLOW_NAME,緩速控制化學,Slow Control Chemistry
RESEARCH_STATUS_SLOW_DESCRIPTION,受控敵人移速 −8%。與防線路線障壁分開。,Reduces controlled enemy movement speed by 8%. Separate from the Defense route barrier.
RESEARCH_STATUS_INF_NAME,感染擴散化學,Infection Spread Chemistry
RESEARCH_STATUS_INF_DESCRIPTION,擊殺或疊滿時，狀態可跳到鄰近敵人。,Allows a status to jump to a nearby enemy on a kill or at maximum stacks.
RESEARCH_STATUS_CHAIN_NAME,鏈鎖跳躍化學,Chain-jump Chemistry
RESEARCH_STATUS_CHAIN_DESCRIPTION,連鎖傷害與標記可額外跳一次。,Allows chained damage and Marks to jump one additional time.
RESEARCH_STATUS_CRIT_NAME,暴擊觸發化學,Critical Trigger Chemistry
RESEARCH_STATUS_CRIT_DESCRIPTION,3-1 匯合：全域暴擊 +5%。終局給觸發率，不再疊弱點與破甲。,3-1 convergence: adds 5% global critical chance without stacking more weakness or armor shred.
RESEARCH_CAMPAIGN_L01_NAME,黏膜入口,Mucosal Entry
RESEARCH_CAMPAIGN_L02_NAME,血流回廊,Bloodstream Corridor
RESEARCH_CAMPAIGN_L03_NAME,淋巴濾站,Lymphatic Filter
RESEARCH_CAMPAIGN_L04_NAME,發炎病灶,Inflammatory Lesion
RESEARCH_CAMPAIGN_L05_NAME,腫瘤組織,Tumor Tissue
RESEARCH_CAMPAIGN_L06_NAME,感染本源,Source of Infection
